NTA,Date,NTA_count,Jobs,Savings,SumJobs,MeanSavings
Manhattanville,07/10/2019,9.0,,9564.97,0.0,22030.588888888888
Greenpoint,10/01/2007,14.0,,860520.44,0.0,177222.05857142858
Hunters Point-Sunnyside-West Maspeth,11/04/2019,75.0,,4084.83,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,07/07/2020,75.0,,962.95,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,12/06/2018,75.0,,3078.09,0.0,160609.31960000002
Springfield Gardens South-Brookville,04/24/2019,5.0,,72296.36,0.0,362028.862
Hunters Point-Sunnyside-West Maspeth,05/05/2017,75.0,,4687.04,0.0,160609.31960000002
Carroll Gardens-Columbia Street-Red Hook,10/09/2018,11.0,,851.9,0.0,184683.94545454546
Crown Heights North,12/23/2015,9.0,,2337.04,0.0,17168.966666666667
park-cemetery-etc-Brooklyn,05/12/2020,15.0,,1926.51,0.0,36740.328
Greenpoint,03/05/2019,14.0,,45242.25,0.0,177222.05857142858
Maspeth,08/15/2018,9.0,,7809.89,10.0,20783.175555555554
East Williamsburg,08/03/2009,11.0,,48424.94,0.0,143369.4790909091
Hunters Point-Sunnyside-West Maspeth,06/05/2020,75.0,,9017.13,0.0,160609.31960000002
Mott Haven-Port Morris,08/08/2017,14.0,,45728.24,10.0,159905.58428571429
Manhattanville,09/08/2011,9.0,,31752.35,0.0,22030.588888888888
East New York,01/17/2017,9.0,,12937.27,15.0,457945.40111111116
Hunts Point,07/06/2015,13.0,,157569.67,12.0,397635.44923076924
Bushwick South,02/05/2010,10.0,,646.24,10.0,307800.03099999996
Sunset Park West,03/04/2020,48.0,,1435.35,0.0,139256.485
East New York,07/07/2017,9.0,,949952.3,15.0,457945.40111111116
park-cemetery-etc-Brooklyn,08/19/2019,15.0,,18901.61,0.0,36740.328
Bushwick South,03/07/2012,10.0,,1498399.73,10.0,307800.03099999996
Bushwick South,12/07/2009,10.0,,52691.45,10.0,307800.03099999996
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,07/06/2011,10.0,,703087.79,0.0,437390.5
East New York,02/05/1993,9.0,15.0,1242068.09,15.0,457945.40111111116
Hunters Point-Sunnyside-West Maspeth,10/05/2010,75.0,,144574.35,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,11/02/2007,75.0,,913825.12,0.0,160609.31960000002
Sunset Park West,03/06/2015,48.0,,29194.62,0.0,139256.485
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,04/06/2018,10.0,,60210.91,0.0,437390.5
Sunset Park West,10/14/2010,48.0,,8214.25,0.0,139256.485
Hunters Point-Sunnyside-West Maspeth,10/04/2017,75.0,,94611.16,0.0,160609.31960000002
Sunset Park West,02/10/2020,48.0,,25554.95,0.0,139256.485
Hunters Point-Sunnyside-West Maspeth,01/07/2012,75.0,,95282.07,0.0,160609.31960000002
Sunset Park West,12/04/2014,48.0,,30002.6,0.0,139256.485
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,12/08/2015,10.0,,3757.68,0.0,437390.5
Mott Haven-Port Morris,06/08/2007,14.0,3.0,13734.02,10.0,159905.58428571429
Steinway,07/02/2007,7.0,20.0,927036.8,20.0,255769.45285714284
East New York,04/21/2008,9.0,,249813.85,15.0,457945.40111111116
Hunters Point-Sunnyside-West Maspeth,10/04/2018,75.0,,3335.97,0.0,160609.31960000002
Manhattanville,11/06/2014,9.0,,16337.33,0.0,22030.588888888888
